name,position,value,teamName,teamId
Theo Hernández,Left-Back,€15.00m  ,Real Madrid,675
Sergio Reguilón,Left-Back,€15.00m  ,Real Madrid,675
Fran García,Left-Back,€250Th.  ,Real Madrid,675
Daniel Carvajal,Right-Back,€50.00m  ,Real Madrid,675
Álvaro Odriozola,Right-Back,€25.00m  ,Real Madrid,675
Casemiro,Defensive Midfield,€60.00m  ,Real Madrid,675
Marcos Llorente,Defensive Midfield,€20.00m  ,Real Madrid,675
Lucas Silva,Defensive Midfield,€2.00m  ,Real Madrid,675
Toni Kroos,Central Midfield,€60.00m  ,Real Madrid,675
Mateo Kovacic,Central Midfield,€35.00m  ,Real Madrid,675
Dani Ceballos,Central Midfield,€30.00m  ,Real Madrid,675
Luka Modric,Central Midfield,€20.00m  ,Real Madrid,675
Federico Valverde,Central Midfield,€20.00m  ,Real Madrid,675
Álvaro Fidalgo,Central Midfield,€300Th.  ,Real Madrid,675
Jaume Grau,Central Midfield,€300Th.  ,Real Madrid,675
Jaime Seoane,Central Midfield,€250Th.  ,Real Madrid,675
Isco,Attacking Midfield,€60.00m  ,Real Madrid,675
James Rodríguez,Attacking Midfield,€50.00m  ,Real Madrid,675
Brahim Díaz,Attacking Midfield,€17.00m  ,Real Madrid,675
Martin Ödegaard,Attacking Midfield,€15.00m  ,Real Madrid,675
Vinícius Júnior,Left Winger,€70.00m  ,Real Madrid,675
Marco Asensio,Left Winger,€60.00m  ,Real Madrid,675
Gareth Bale,Right Winger,€60.00m  ,Real Madrid,675
Lucas Vázquez,Right Winger,€25.00m  ,Real Madrid,675
Franchu,Right Winger,€200Th.  ,Real Madrid,675
Karim Benzema,Centre-Forward,€40.00m  ,Real Madrid,675
Raúl de Tomás,Centre-Forward,€20.00m  ,Real Madrid,675
Mariano Díaz,Centre-Forward,€20.00m  ,Real Madrid,675
Cristo,Centre-Forward,€5.00m  ,Real Madrid,675
Borja Mayoral,Centre-Forward,€4.00m  ,Real Madrid,675
Raúl Fernández,Goalkeeper,€1.00m  ,Las Palmas,714
Josep Martínez,Goalkeeper,€500Th.  ,Las Palmas,714
Nauzet Pérez,Goalkeeper,€400Th.  ,Las Palmas,714
Álvaro Valles,Goalkeeper,€100Th.  ,Las Palmas,714
Mauricio Lemos,Centre-Back,€3.50m  ,Las Palmas,714
Pedro Bigas,Centre-Back,€3.00m  ,Las Palmas,714
Juan Cala,Centre-Back,€1.50m  ,Las Palmas,714
Deivid,Centre-Back,€700Th.  ,Las Palmas,714
Aythami Artiles,Centre-Back,€500Th.  ,Las Palmas,714
Martín Mantovani,Centre-Back,€400Th.  ,Las Palmas,714
David García,Centre-Back,€100Th.  ,Las Palmas,714
Dani Castellano,Left-Back,€700Th.  ,Las Palmas,714
Alberto de la Bella,Left-Back,€500Th.  ,Las Palmas,714
Álvaro Lemos,Right-Back,€800Th.  ,Las Palmas,714
Eric Curbelo,Right-Back,€700Th.  ,Las Palmas,714
Diego Parras,Right-Back,€200Th.  ,Las Palmas,714
Jesús Fortes,Right-Back,€200Th.  ,Las Palmas,714
David Timor,Defensive Midfield,€1.50m  ,Las Palmas,714
Javi Castellano,Defensive Midfield,€500Th.  ,Las Palmas,714
Christian Rivera,Central Midfield,€2.50m  ,Las Palmas,714
Iñigo Ruiz de Galarreta,Central Midfield,€2.00m  ,Las Palmas,714
Gabriel Peñalba,Central Midfield,€300Th.  ,Las Palmas,714
Fabio González,Central Midfield,€200Th.  ,Las Palmas,714
Tana,Attacking Midfield,€2.00m  ,Las Palmas,714
Maikel Mesa,Attacking Midfield,€900Th.  ,Las Palmas,714
Toni Segura,Attacking Midfield,€300Th.  ,Las Palmas,714
Kirian Rodríguez,Attacking Midfield,€250Th.  ,Las Palmas,714
Benito Ramírez,Left Winger,€700Th.  ,Las Palmas,714
Danny Blum,Left Winger,€500Th.  ,Las Palmas,714
Fidel,Left Winger,€500Th.  ,Las Palmas,714
Carlos González,Left Winger,€100Th.  ,Las Palmas,714
Momo,Left Winger,€100Th.  ,Las Palmas,714
Mateo García,Right Winger,€2.00m  ,Las Palmas,714
Hadi Sacko,Right Winger,€1.20m  ,Las Palmas,714
Slavoljub Srnic,Right Winger,€600Th.  ,Las Palmas,714
Cristian Cedrés,Right Winger,€100Th.  ,Las Palmas,714
Rafa Mir,Centre-Forward,€3.00m  ,Las Palmas,714
Sergio Araujo,Centre-Forward,€2.00m  ,Las Palmas,714
Tomas Pekhart,Centre-Forward,€600Th.  ,Las Palmas,714
Rubén Castro,Centre-Forward,€500Th.  ,Las Palmas,714
Andriy Lunin,Goalkeeper,€7.50m  ,Leganés,712
Iván Cuéllar,Goalkeeper,€800Th.  ,Leganés,712
Jon Ander Serantes,Goalkeeper,€500Th.  ,Leganés,712
Andrés Prieto,Goalkeeper,€200Th.  ,Leganés,712
David Tejero,Goalkeeper,€150Th.  ,Leganés,712
Dimitrios Siovas,Centre-Back,€6.00m  ,Leganés,712
Kenneth Omeruo,Centre-Back,€5.00m  ,Leganés,712
Unai Bustinza,Centre-Back,€4.00m  ,Leganés,712
Diego Reyes,Centre-Back,€2.00m  ,Leganés,712
Rodrigo Tarín,Centre-Back,€2.00m  ,Leganés,712
Ezequiel Muñoz,Centre-Back,€1.00m  ,Leganés,712
Josua Mejías,Centre-Back,€200Th.  ,Leganés,712
Jonathan Silva,Left-Back,€3.00m  ,Leganés,712
Vasyl Kravets,Left-Back,€3.00m  ,Leganés,712
Raúl Carnero,Left-Back,€1.00m  ,Leganés,712
Allan Nyom,Right-Back,€3.00m  ,Leganés,712
Juanfran,Right-Back,€2.50m  ,Leganés,712
Rubén Pérez,Defensive Midfield,€7.50m  ,Leganés,712
Mikel Vesga,Defensive Midfield,€4.00m  ,Leganés,712
Gerard Gumbau,Defensive Midfield,€2.50m  ,Leganés,712
Recio,Central Midfield,€3.00m  ,Leganés,712
Facundo García,Central Midfield,€600Th.  ,Leganés,712
Óscar Rodríguez,Attacking Midfield,€10.00m  ,Leganés,712
Fede Vico,Attacking Midfield,€1.50m  ,Leganés,712
Javi Eraso,Attacking Midfield,€1.50m  ,Leganés,712
José Manuel Arnáiz,Left Winger,€2.50m  ,Leganés,712
Alexander Szymanowski,Left Winger,€1.50m  ,Leganés,712
Dani Ojeda,Left Winger,€400Th.  ,Leganés,712
Nabil El Zhar,Right Winger,€2.00m  ,Leganés,712
Owusu,Right Winger,€300Th.  ,Leganés,712
Javier Avilés,Right Winger,- ,Leganés,712
Youssef En-Nesyri,Centre-Forward,€12.00m  ,Leganés,712
Martin Braithwaite,Centre-Forward,€8.00m  ,Leganés,712
Guido Carrillo,Centre-Forward,€7.50m  ,Leganés,712
Michael Santos,Centre-Forward,€2.00m  ,Leganés,712
Diego Rolán,Centre-Forward,€2.00m  ,Leganés,712
Sabin Merino,Centre-Forward,€1.00m  ,Leganés,712
Mamadou Koné,Centre-Forward,€800Th.  ,Leganés,712
Marko Dmitrovic,Goalkeeper,€10.00m  ,Eibar,701
Yoel Rodríguez,Goalkeeper,€1.50m  ,Eibar,701
Asier Riesgo,Goalkeeper,€400Th.  ,Eibar,701
Markel Areitio,Goalkeeper,€200Th.  ,Eibar,701
Paulo Oliveira,Centre-Back,€6.00m  ,Eibar,701
Pedro Bigas,Centre-Back,€3.00m  ,Eibar,701
Anaitz Arbilla,Centre-Back,€2.00m  ,Eibar,701
José Antonio Martínez,Centre-Back,€1.20m  ,Eibar,701
Iván Ramis,Centre-Back,€1.00m  ,Eibar,701
Unai Elgezabal,Centre-Back,€400Th.  ,Eibar,701
Kaiser,Centre-Back,€250Th.  ,Eibar,701
José Ángel,Left-Back,€5.00m  ,Eibar,701
Rubén Peña,Right-Back,€10.00m  ,Eibar,701
Jordi Calavera,Right-Back,€600Th.  ,Eibar,701
Alberto Mari,, ,Eibar,701
Pape Diop,Defensive Midfield,€1.50m  ,Eibar,701
Joan Jordán,Central Midfield,€12.00m  ,Eibar,701
Gonzalo Escalante,Central Midfield,€4.00m  ,Eibar,701
Sergio Álvarez,Central Midfield,€2.50m  ,Eibar,701
Miguel Marí,Central Midfield,€250Th.  ,Eibar,701
Marc Cucurella,,€10.00m  ,Eibar,701
Bebé,Left Winger,€2.00m  ,Eibar,701
Pablo de Blasis,Left Winger,€2.00m  ,Eibar,701
Pere Milla,Left Winger,€700Th.  ,Eibar,701
Fabián Orellana,Right Winger,€2.50m  ,Eibar,701
Pedro León,Right Winger,€1.80m  ,Eibar,701
Pablo Hervías,Right Winger,€700Th.  ,Eibar,701
Sergi Enrich,Centre-Forward,€7.50m  ,Eibar,701
Kike García,Centre-Forward,€3.00m  ,Eibar,701
Charles,Centre-Forward,€2.00m  ,Eibar,701
Marc Cardona,Centre-Forward,€1.50m  ,Eibar,701
Nano Mesa,Centre-Forward,€600Th.  ,Eibar,701
Bono,Goalkeeper,€5.00m  ,Girona,756
José Aurelio Suárez,Goalkeeper,€250Th.  ,Girona,756
Gorka Iraizoz,Goalkeeper,€200Th.  ,Girona,756
Marc Vito,Goalkeeper,€150Th.  ,Girona,756
Juanpe,Centre-Back,€7.00m  ,Girona,756
Bernardo Espinosa,Centre-Back,€6.00m  ,Girona,756
Jonás Ramalho,Centre-Back,€3.00m  ,Girona,756
Marc Muniesa,Centre-Back,€3.00m  ,Girona,756
Pedro Alcalá,Centre-Back,€800Th.  ,Girona,756
Johan Mojica,Left-Back,€3.00m  ,Girona,756
Aday,Left-Back,€1.50m  ,Girona,756
Raúl Carnero,Left-Back,€1.00m  ,Girona,756
Carles Planas,Left-Back,€800Th.  ,Girona,756
Pedro Porro,Right-Back,€10.00m  ,Girona,756
Pere Pons,Defensive Midfield,€4.00m  ,Girona,756
Douglas Luiz,Defensive Midfield,€2.50m  ,Girona,756
David Timor,Defensive Midfield,€1.50m  ,Girona,756
Álex Granell,Central Midfield,€5.00m  ,Girona,756
Aleix García,Central Midfield,€3.00m  ,Girona,756
Seung-ho Paik,Central Midfield,€300Th.  ,Girona,756
Èric Montes,Central Midfield,€300Th.  ,Girona,756
Borja García,Attacking Midfield,€7.00m  ,Girona,756
Jairo Izquierdo,Left Winger,€800Th.  ,Girona,756
Yhoan Andzouana,Left Winger,€250Th.  ,Girona,756
Portu,Right Winger,€10.00m  ,Girona,756
Patrick Roberts,Right Winger,€5.00m  ,Girona,756
Valery Fernández,Right Winger,€5.00m  ,Girona,756
Sebas Coris,Right Winger,€500Th.  ,Girona,756
Cristhian Stuani,Centre-Forward,€7.00m  ,Girona,756
Choco Lozano,Centre-Forward,€1.50m  ,Girona,756
Seydou Doumbia,Centre-Forward,€1.50m  ,Girona,756
Kévin Soni,Centre-Forward,€300Th.  ,Girona,756
Álex Pachón,Centre-Forward,€100Th.  ,Girona,756
Adrián Ortolá,Goalkeeper,€1.00m  ,Deportivo de La Coruña,677
Álex Cobo,Goalkeeper,€200Th.  ,Deportivo de La Coruña,677
Dani Giménez,Goalkeeper,€200Th.  ,Deportivo de La Coruña,677
Rober Pier,Centre-Back,€2.50m  ,Deportivo de La Coruña,677
Domingos Duarte,Centre-Back,€2.50m  ,Deportivo de La Coruña,677
Pablo Marí,Centre-Back,€800Th.  ,Deportivo de La Coruña,677
Michele Somma,Centre-Back,€500Th.  ,Deportivo de La Coruña,677
Iñigo López,Centre-Back,€200Th.  ,Deportivo de La Coruña,677
Saúl García,Left-Back,€900Th.  ,Deportivo de La Coruña,677
Diego Caballo,Left-Back,€800Th.  ,Deportivo de La Coruña,677
Sebastián Dubarbier,Left-Back,€400Th.  ,Deportivo de La Coruña,677
Juanfran,Right-Back,€2.50m  ,Deportivo de La Coruña,677
David Simón,Right-Back,€800Th.  ,Deportivo de La Coruña,677
Eneko Bóveda,Right-Back,€800Th.  ,Deportivo de La Coruña,677
Gerard Valentín,Right-Back,€500Th.  ,Deportivo de La Coruña,677
Didier Moreno,Defensive Midfield,€2.00m  ,Deportivo de La Coruña,677
Vicente Gómez,Defensive Midfield,€1.50m  ,Deportivo de La Coruña,677
Álex Bergantiños,Defensive Midfield,€500Th.  ,Deportivo de La Coruña,677
Edu Expósito,Central Midfield,€4.00m  ,Deportivo de La Coruña,677
Pedro Mosquera,Central Midfield,€1.00m  ,Deportivo de La Coruña,677
Michael Krohn-Dehli,Central Midfield,€300Th.  ,Deportivo de La Coruña,677
Carles Gil,Attacking Midfield,€1.50m  ,Deportivo de La Coruña,677
Joni Montiel,Attacking Midfield,€200Th.  ,Deportivo de La Coruña,677
Vítor Silva,Attacking Midfield,€200Th.  ,Deportivo de La Coruña,677
Borja Valle,Left Winger,€1.50m  ,Deportivo de La Coruña,677
Matías Nahuel,Left Winger,€800Th.  ,Deportivo de La Coruña,677
Fede Cartabia,Right Winger,€2.00m  ,Deportivo de La Coruña,677
Pedro Sánchez,Right Winger,€500Th.  ,Deportivo de La Coruña,677
Víctor García,Right Winger,€250Th.  ,Deportivo de La Coruña,677
Diego Rolán,Centre-Forward,€2.00m  ,Deportivo de La Coruña,677
Carlos Fernández,Centre-Forward,€2.00m  ,Deportivo de La Coruña,677
Quique,Centre-Forward,€1.50m  ,Deportivo de La Coruña,677
Christian Santos,Centre-Forward,€800Th.  ,Deportivo de La Coruña,677
Pau López,Goalkeeper,€20.00m  ,Real Betis,684
Joel Robles,Goalkeeper,€5.00m  ,Real Betis,684
Marc Bartra,Centre-Back,€22.00m  ,Real Betis,684
Aïssa Mandi,Centre-Back,€16.00m  ,Real Betis,684
Sidnei,Centre-Back,€10.00m  ,Real Betis,684
Zouhair Feddal,Centre-Back,€5.00m  ,Real Betis,684
Alin Tosca,Centre-Back,€1.25m  ,Real Betis,684
Júnior Firpo,Left-Back,€25.00m  ,Real Betis,684
Julio Alonso,Left-Back,€100Th.  ,Real Betis,684
Diego Altamirano,Left-Back,- ,Real Betis,684
Francis Guerrero,Right-Back,€6.00m  ,Real Betis,684
Emerson,Right-Back,€3.00m  ,Real Betis,684
Antonio Barragán,Right-Back,€2.00m  ,Real Betis,684
Adrián Tellado,Right-Back, ,Real Betis,684
William Carvalho,Defensive Midfield,€25.00m  ,Real Betis,684
Javi García,Defensive Midfield,€2.00m  ,Real Betis,684
Edgar González,Defensive Midfield,€300Th.  ,Real Betis,684
Giovani Lo Celso,Central Midfield,€50.00m  ,Real Betis,684
Víctor Camarasa,Central Midfield,€10.00m  ,Real Betis,684
Andrés Guardado,Central Midfield,€5.00m  ,Real Betis,684
Wilfrid Kaptoum,Central Midfield,€4.00m  ,Real Betis,684
Darko Brasanac,Central Midfield,€2.00m  ,Real Betis,684
José Manuel Irizo,Central Midfield,€150Th.  ,Real Betis,684
Paul Akouokou,Central Midfield,- ,Real Betis,684
Jaime Garijo,Central Midfield, ,Real Betis,684
Sergio Canales,Attacking Midfield,€25.00m  ,Real Betis,684
Ryad Boudebouz,Attacking Midfield,€6.00m  ,Real Betis,684
Diego Lainez,Left Winger,€14.00m  ,Real Betis,684
Cristian Tello,Left Winger,€10.00m  ,Real Betis,684
Jesé,Left Winger,€5.00m  ,Real Betis,684
Takashi Inui,Left Winger,€4.00m  ,Real Betis,684
Juanjo Narváez,Left Winger,€700Th.  ,Real Betis,684
Joaquín,Right Winger,€2.00m  ,Real Betis,684
Rober González,Right Winger,€200Th.  ,Real Betis,684
Loren Morón,Centre-Forward,€10.00m  ,Real Betis,684
Antonio Sanabria,Centre-Forward,€9.00m  ,Real Betis,684
Sergio León,Centre-Forward,€3.00m  ,Real Betis,684
Alex Alegría,Centre-Forward,€800Th.  ,Real Betis,684
Gero Rulli,Goalkeeper,€10.00m  ,Real Sociedad,687
Miguel Ángel Moyá,Goalkeeper,€1.50m  ,Real Sociedad,687
Andoni Zubiaurre,Goalkeeper,€300Th.  ,Real Sociedad,687
Diego Llorente,Centre-Back,€25.00m  ,Real Sociedad,687
Aritz Elustondo,Centre-Back,€10.00m  ,Real Sociedad,687
Héctor Moreno,Centre-Back,€6.00m  ,Real Sociedad,687
Robin Le Normand,Centre-Back,€4.00m  ,Real Sociedad,687
Raúl Navas,Centre-Back,€3.00m  ,Real Sociedad,687
Theo Hernández,Left-Back,€15.00m  ,Real Sociedad,687
Aihen Muñoz,Left-Back,€7.50m  ,Real Sociedad,687
Kévin Rodrigues,Left-Back,€3.00m  ,Real Sociedad,687
Joseba Zaldua,Right-Back,€10.00m  ,Real Sociedad,687
Andoni Gorosabel,Right-Back,€1.50m  ,Real Sociedad,687
Alex Sola,Right-Back,€200Th.  ,Real Sociedad,687
Igor Zubeldia,Defensive Midfield,€30.00m  ,Real Sociedad,687
Asier Illarramendi,Defensive Midfield,€25.00m  ,Real Sociedad,687
Mikel Merino,Central Midfield,€15.00m  ,Real Sociedad,687
Rubén Pardo,Central Midfield,€4.00m  ,Real Sociedad,687
Ander Guevara,Central Midfield,€2.50m  ,Real Sociedad,687
David Zurutuza,Central Midfield,€2.50m  ,Real Sociedad,687
Martín Zubimendi,Central Midfield,€100Th.  ,Real Sociedad,687
Luca Sangalli,Attacking Midfield,€4.00m  ,Real Sociedad,687
Roberto López,Attacking Midfield,€1.00m  ,Real Sociedad,687
Mikel Oyarzabal,Left Winger,€50.00m  ,Real Sociedad,687
Ander Barrenetxea,Left Winger,€10.00m  ,Real Sociedad,687
Martín Merquelanz,Left Winger,€400Th.  ,Real Sociedad,687
Näis Djouahra,Left Winger,€150Th.  ,Real Sociedad,687
Adnan Januzaj,Right Winger,€15.00m  ,Real Sociedad,687
Juanmi,Right Winger,€8.00m  ,Real Sociedad,687
Zourdine Thior,Right Winger,€300Th.  ,Real Sociedad,687
Willian José,Centre-Forward,€30.00m  ,Real Sociedad,687
Sandro Ramírez,Centre-Forward,€4.00m  ,Real Sociedad,687
Jon Bautista,Centre-Forward,€2.00m  ,Real Sociedad,687
Tomas Vaclík,Goalkeeper,€18.00m  ,Sevilla,680
Sergio Rico,Goalkeeper,€12.00m  ,Sevilla,680
Juan Soriano,Goalkeeper,€2.50m  ,Sevilla,680
Lucho García,Goalkeeper,€250Th.  ,Sevilla,680
Javi Díaz,Goalkeeper,€200Th.  ,Sevilla,680
Maximilian Wöber,Centre-Back,€10.00m  ,Sevilla,680
Sergi Gómez,Centre-Back,€9.00m  ,Sevilla,680
Simon Kjaer,Centre-Back,€8.00m  ,Sevilla,680
Joris Gnagnon,Centre-Back,€6.00m  ,Sevilla,680
Daniel Carriço,Centre-Back,€3.00m  ,Sevilla,680
Gabriel Mercado,Centre-Back,€2.50m  ,Sevilla,680
Nicolás Pareja,Centre-Back,€500Th.  ,Sevilla,680
Juan Berrocal,Centre-Back,€500Th.  ,Sevilla,680
Sergio Escudero,Left-Back,€7.50m  ,Sevilla,680
Guilherme Arana,Left-Back,€3.00m  ,Sevilla,680
Javi Vázquez,Left-Back,€100Th.  ,Sevilla,680
Jesús Navas,Right-Back,€4.00m  ,Sevilla,680
Sébastien Corchia,Right-Back,€2.00m  ,Sevilla,680
Ibrahim Amadou,Defensive Midfield,€7.00m  ,Sevilla,680
Maxime Gonalons,Defensive Midfield,€4.00m  ,Sevilla,680
Éver Banega,Central Midfield,€15.00m  ,Sevilla,680
Roque Mesa,Central Midfield,€7.00m  ,Sevilla,680
Marko Rog,Central Midfield,€6.00m  ,Sevilla,680
Franco Vázquez,Attacking Midfield,€15.00m  ,Sevilla,680
Ganso,Attacking Midfield,€2.00m  ,Sevilla,680
Borja Lasso,Attacking Midfield,€700Th.  ,Sevilla,680
Pepe Mena,Attacking Midfield,€250Th.  ,Sevilla,680
Quincy Promes,Left Winger,€18.00m  ,Sevilla,680
Bryan Gil,Left Winger,€10.00m  ,Sevilla,680
Nolito,Left Winger,€2.00m  ,Sevilla,680
Pejiño,Left Winger,€300Th.  ,Sevilla,680
Pablo Sarabia,Right Winger,€40.00m  ,Sevilla,680
Munir El Haddadi,Right Winger,€10.00m  ,Sevilla,680
Aleix Vidal,Right Winger,€4.00m  ,Sevilla,680
Wissam Ben Yedder,Centre-Forward,€40.00m  ,Sevilla,680
André Silva,Centre-Forward,€22.00m  ,Sevilla,680
Luis Muriel,Centre-Forward,€13.00m  ,Sevilla,680
Carlos Fernández,Centre-Forward,€2.00m  ,Sevilla,680
Marc Gual,Centre-Forward,€1.00m  ,Sevilla,680
Sergio Asenjo,Goalkeeper,€12.00m  ,Villarreal,682
Andrés Fernández,Goalkeeper,€1.50m  ,Villarreal,682
Mariano Barbosa,Goalkeeper,€400Th.  ,Villarreal,682
Álvaro González,Centre-Back,€8.00m  ,Villarreal,682
Ramiro Funes Mori,Centre-Back,€8.00m  ,Villarreal,682
Víctor Ruiz,Centre-Back,€7.00m  ,Villarreal,682
Pau Torres,Centre-Back,€4.00m  ,Villarreal,682
Rúben Semedo,Centre-Back,€2.00m  ,Villarreal,682
Juan Ibiza,Centre-Back,€600Th.  ,Villarreal,682
Daniele Bonera,Centre-Back,€200Th.  ,Villarreal,682
Pepe Castaño,Centre-Back,€150Th.  ,Villarreal,682
Alfonso Pedraza,Left-Back,€22.00m  ,Villarreal,682
Jaume Costa,Left-Back,€4.00m  ,Villarreal,682
Xavi Quintillà,Left-Back,€1.00m  ,Villarreal,682
Mario Gaspar,Right-Back,€10.00m  ,Villarreal,682
Miguelón,Right-Back,€800Th.  ,Villarreal,682
Andrei Ratiu,Right-Back,€300Th.  ,Villarreal,682
Santiago Cáseres,Defensive Midfield,€10.00m  ,Villarreal,682
Javi Fuego,Defensive Midfield,€800Th.  ,Villarreal,682
Bruno Soriano,Defensive Midfield,€800Th.  ,Villarreal,682
Manuel Iturra,Defensive Midfield,€400Th.  ,Villarreal,682
Manu Trigueros,Central Midfield,€15.00m  ,Villarreal,682
Vicente Iborra,Central Midfield,€9.00m  ,Villarreal,682
Roberto Soriano,Central Midfield,€7.00m  ,Villarreal,682
Santi Cazorla,Central Midfield,€4.00m  ,Villarreal,682
Manu Morlanes,Central Midfield,€2.50m  ,Villarreal,682
Ramiro Guerra,Central Midfield,€200Th.  ,Villarreal,682
Miguel Layún,,€3.00m  ,Villarreal,682
Pablo Fornals,Attacking Midfield,€25.00m  ,Villarreal,682
Nicola Sansone,Left Winger,€7.50m  ,Villarreal,682
Akram Afif,Left Winger,€3.50m  ,Villarreal,682
Samu Chukwueze,Right Winger,€30.00m  ,Villarreal,682
Dani Raba,Right Winger,€2.00m  ,Villarreal,682
Leo Suárez,Right Winger,€1.00m  ,Villarreal,682
Iván Martín,Right Winger,€300Th.  ,Villarreal,682
Gerard Moreno,Centre-Forward,€17.50m  ,Villarreal,682
Karl Toko Ekambi,Centre-Forward,€17.50m  ,Villarreal,682
Enes Ünal,Centre-Forward,€5.00m  ,Villarreal,682
Carlos Bacca,Centre-Forward,€5.00m  ,Villarreal,682
Munir,Goalkeeper,€1.00m  ,Málaga,683
Axel Werner,Goalkeeper,€600Th.  ,Málaga,683
Pawel Kieszek,Goalkeeper,€400Th.  ,Málaga,683
Cenk Gönen,Goalkeeper,€200Th.  ,Málaga,683
Andrés Prieto,Goalkeeper,€200Th.  ,Málaga,683
Pau Torres,Centre-Back,€4.00m  ,Málaga,683
Luis Hernández,Centre-Back,€2.50m  ,Málaga,683
Diego González,Centre-Back,€2.00m  ,Málaga,683
David Lombán,Centre-Back,€600Th.  ,Málaga,683
Abdel Abqar,Centre-Back,€150Th.  ,Málaga,683
Federico Ricca,Left-Back,€2.50m  ,Málaga,683
Juankar,Left-Back,€1.20m  ,Málaga,683
Rajko Brezancic,Left-Back,€400Th.  ,Málaga,683
Miguel Cifuentes,Right-Back,€800Th.  ,Málaga,683
Iván Rodríguez,Right-Back,€800Th.  ,Málaga,683
Miguel Torres,Right-Back,€400Th.  ,Málaga,683
Alfred N'Diaye,Defensive Midfield,€3.50m  ,Málaga,683
Erik Morán,Defensive Midfield,€600Th.  ,Málaga,683
Mehdi Lacen,Defensive Midfield,€500Th.  ,Málaga,683
Manuel Iturra,Defensive Midfield,€400Th.  ,Málaga,683
Recio,Central Midfield,€3.00m  ,Málaga,683
Keidi Bare,Central Midfield,€800Th.  ,Málaga,683
Badr Boulahroud,Central Midfield,€400Th.  ,Málaga,683
Iván Jaime,Central Midfield,€150Th.  ,Málaga,683
Sead Haksabanovic,,€800Th.  ,Málaga,683
Adrián González,Attacking Midfield,€2.50m  ,Málaga,683
Juanpi Añor,Attacking Midfield,€2.00m  ,Málaga,683
Javi Ontiveros,Left Winger,€6.00m  ,Málaga,683
Dani Pacheco,Left Winger,€800Th.  ,Málaga,683
Álex Mula,Left Winger,€500Th.  ,Málaga,683
Hugo Vallejo,Left Winger,- ,Málaga,683
Iván Alejo,Right Winger,€1.20m  ,Málaga,683
Renato Santos,Right Winger,€800Th.  ,Málaga,683
Hicham Boussefiane,Right Winger,€500Th.  ,Málaga,683
Gustavo Blanco Leschuk,Centre-Forward,€1.80m  ,Málaga,683
Jack Harper,Centre-Forward,€1.50m  ,Málaga,683
Mamadou Koné,Centre-Forward,€800Th.  ,Málaga,683
Héctor Hernández,Centre-Forward,€700Th.  ,Málaga,683
Yevgen Seleznyov,Centre-Forward,€400Th.  ,Málaga,683
Alfred Gomis,Goalkeeper,¬ 2.00m  ,SPAL,3204
Vanja Milinkovi-Savi,Goalkeeper,¬ 1.20m  ,SPAL,3204
Emiliano Viviano,Goalkeeper,¬ 1.00m  ,SPAL,3204
Andrea Fulignati,Goalkeeper,¬ 500Th.  ,SPAL,3204
Giacomo Poluzzi,Goalkeeper,¬ 100Th.  ,SPAL,3204
Demba Thiam,Goalkeeper,¬ 100Th.  ,SPAL,3204
Maurice Gomis,Goalkeeper,¬ 50Th.  ,SPAL,3204
Kevin Bonifazi,Centre-Back,¬ 5.50m  ,SPAL,3204
Francesco Vicari,Centre-Back,¬ 5.00m  ,SPAL,3204
Lorenco Simic,Centre-Back,¬ 1.00m  ,SPAL,3204
Bartosz Salamon,Centre-Back,¬ 800Th.  ,SPAL,3204
Johan Djourou,Centre-Back,¬ 800Th.  ,SPAL,3204
Thiago Cionek,Centre-Back,¬ 800Th.  ,SPAL,3204
Sauli Väisänen,Centre-Back,¬ 600Th.  ,SPAL,3204
Felipe,Centre-Back,¬ 500Th.  ,SPAL,3204
Michele Cremonesi,Centre-Back,¬ 400Th.  ,SPAL,3204
Fabio Della Giovanna,Centre-Back,¬ 150Th.  ,SPAL,3204
Matteo Salvi,Centre-Back,¬ 50Th.  ,SPAL,3204
Ricardo Farcas,Centre-Back,¬ 50Th.  ,SPAL,3204
Thomas Coulange,Centre-Back, ,SPAL,3204
Vasco Regini,Left-Back,¬ 1.40m  ,SPAL,3204
Filippo Costa,Left-Back,¬ 800Th.  ,SPAL,3204
Riccardo Mastrilli,Left-Back,¬ 100Th.  ,SPAL,3204
Lorenzo Dickmann,Right-Back,¬ 1.60m  ,SPAL,3204
Federico Viviani,Defensive Midfield,¬ 3.00m  ,SPAL,3204
Simone Missiroli,Defensive Midfield,¬ 2.00m  ,SPAL,3204
Everton Luiz,Defensive Midfield,¬ 1.00m  ,SPAL,3204
Mirko Valdifiori,Defensive Midfield,¬ 500Th.  ,SPAL,3204
Salvatore Esposito,Defensive Midfield,¬ 300Th.  ,SPAL,3204
Jasmin Kurtic,Central Midfield,¬ 6.00m  ,SPAL,3204
Alessandro Murgia,Central Midfield,¬ 5.00m  ,SPAL,3204
Mattia Valoti,Central Midfield,¬ 1.00m  ,SPAL,3204
Pasquale Schiattarella,Central Midfield,¬ 1.00m  ,SPAL,3204
Mattia Vitale,Central Midfield,¬ 400Th.  ,SPAL,3204
Shaka Mawuli,Central Midfield,¬ 200Th.  ,SPAL,3204
Alessandro Bellemo,Central Midfield,¬ 150Th.  ,SPAL,3204
Andrea Rizzo Pinna,Central Midfield,¬ 50Th.  ,SPAL,3204
Karolis Uzela,Central Midfield,¬ 50Th.  ,SPAL,3204
Manuel Lazzari,,¬ 18.00m  ,SPAL,3204
